,region,year,alcohol_sales,male_length_education,female_length_education,combined_length_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,health_cost
0,Central Finland,1993,6.5,236.0,226.9,231.3,33139,82320,13731,31514,78184,23034,64653,160504,36765,258485,2753.7
1,Central Finland,1994,6.3,240.0,233.0,236.4,32988,82406,14113,31524,78412,23429,64512,160818,37542,259392,2656.4
2,Central Finland,1995,6.5,244.8,239.1,241.9,32715,82518,14473,31322,78565,23728,64037,161083,38201,259778,2833.8
3,Central Finland,1996,6.7,249.4,245.4,247.4,32563,82863,14887,31092,78943,24042,63655,161806,38929,260835,2943.6
4,Central Finland,1997,6.7,254.3,251.8,253.0,32311,83018,15197,30859,79184,24347,63170,162202,39544,261559,2690.9
5,Central Finland,1998,6.8,259.2,258.5,258.8,31968,83088,15433,30668,79575,24481,62636,162663,39914,261754,2746.2
6,Central Finland,1999,6.8,263.9,264.6,264.3,31739,83255,15655,30350,79757,24722,62089,163012,40377,262106,2813.1
7,Central Finland,2000,6.8,268.5,271.1,269.9,31508,83663,16019,30066,80164,24896,61574,163827,40915,262710,2933.7
8,Central Finland,2001,7.1,273.7,277.5,275.6,31096,84156,16252,29847,80690,25094,60943,164846,41346,263574,3149.7
9,Central Finland,2002,7.4,278.5,282.8,280.7,30706,84355,16644,29539,80892,25335,60245,165247,41979,263889,3349.3
10,Central Finland,2003,7.4,284.0,290.0,287.1,30426,84650,17098,29356,81237,25582,59782,165887,42680,264936,3519.7
11,Central Finland,2004,7.9,289.1,297.0,293.2,30283,84806,17583,29176,81450,26105,59459,166256,43688,266047,3660.7
12,Central Finland,2005,8.0,293.1,302.6,298.0,30082,84970,18014,29036,81469,26384,59118,166439,44398,266770,3767.8
13,Central Finland,2006,8.2,297.1,308.8,303.1,30104,84602,18906,29034,81294,27025,59138,165896,45931,267481,3864.6
14,Central Finland,2007,8.5,302.7,316.1,309.6,29981,84935,18991,28865,81500,27034,58846,166435,46025,267998,4021.9
15,Central Finland,2008,8.4,307.7,324.2,316.1,29865,85172,19431,28870,81861,27345,58735,167033,46776,269108,4449.2
16,Central Finland,2009,8.3,311.6,330.3,321.2,29865,85347,19848,28799,82063,27658,58664,167410,47506,270195,4567.7
17,Central Finland,2010,8.1,316.0,336.4,326.4,29789,85272,20617,28709,81888,28300,58498,167160,48917,271083,4668.6
18,Central Finland,2011,8.1,320.4,343.2,332.0,29700,84912,21496,28545,81472,29106,58245,166384,50602,271874,4920.3
19,Central Finland,2012,7.7,324.5,349.5,337.2,29577,84503,22549,28480,81052,29953,58057,165555,52502,272723,5187.7
20,Central Finland,2013,7.5,329.6,356.1,343.1,29338,83726,23715,28243,80211,30905,57581,163937,54620,272911,5357.3
21,Central Finland,2014,7.3,334.0,362.1,348.3,29211,83086,24626,28112,79498,31698,57323,162584,56324,272990,5350.3
22,Central Finland,2015,7.1,336.5,366.7,351.8,29001,82655,25516,27941,78945,32488,56942,161600,58004,273446,5406.5
23,Central Finland,2016,7.1,340.3,372.3,356.5,28865,82600,26210,27737,78471,33005,56602,161071,59215,273910,5508.9
24,Central Finland,2017,7.1,345.3,379.4,362.6,28706,81959,27026,27448,77949,33648,56154,159908,60674,273779,5486.5
25,Central Finland,2018,7.1,350.7,387.3,369.3,28443,81478,27580,27155,77342,34266,55598,158820,61846,273283,5599.3
26,Central Finland,2019,6.9,354.0,392.5,373.5,27988,81023,28296,26825,76756,34905,54813,157779,63201,272898,5895.6
27,Central Finland,2020,6.9,357.9,398.5,378.4,27732,80506,28957,26546,76246,35548,54278,156752,64505,272617,6006.9
28,Central Ostrobothnia,1993,4.7,202.0,208.2,205.2,10126,21269,3456,9762,20242,5593,19888,41511,9049,69315,2544.1
29,Central Ostrobothnia,1994,4.7,206.7,214.0,210.4,10038,21368,3535,9696,20366,5725,19734,41734,9260,69627,2585.1
30,Central Ostrobothnia,1995,4.9,210.4,220.3,215.4,9928,21342,3656,9622,20348,5801,19550,41690,9457,69539,2810.9
31,Central Ostrobothnia,1996,5.1,214.3,225.3,219.9,9752,21279,3755,9426,20229,5867,19178,41508,9622,69213,2967.4
32,Central Ostrobothnia,1997,5.2,218.8,230.8,225.0,9578,21249,3857,9337,20152,5912,18915,41401,9769,69021,2628.2
33,Central Ostrobothnia,1998,5.3,223.2,235.5,229.5,9444,21229,3924,9236,20068,5962,18680,41297,9886,68773,2660.6
34,Central Ostrobothnia,1999,5.4,226.4,240.7,233.7,9248,21109,4024,9084,19959,6021,18332,41068,10045,68345,2743.4
35,Central Ostrobothnia,2000,5.4,229.3,245.8,237.7,9101,21019,4117,8946,19913,6098,18047,40932,10215,68052,2895.7
36,Central Ostrobothnia,2001,5.7,233.1,251.3,242.4,8910,20948,4172,8751,19809,6177,17661,40757,10349,67671,3132.4
37,Central Ostrobothnia,2002,6.0,239.0,256.1,247.7,8759,20913,4266,8626,19842,6196,17385,40755,10462,67497,3317.0
38,Central Ostrobothnia,2003,6.2,243.9,262.3,253.3,8642,20855,4384,8522,19858,6237,17164,40713,10621,67441,3514.0
39,Central Ostrobothnia,2004,6.7,248.4,269.0,258.9,8569,20810,4508,8334,19829,6336,16903,40639,10844,67369,3732.0
40,Central Ostrobothnia,2005,6.8,252.5,275.7,264.3,8536,20880,4592,8316,19856,6409,16852,40736,11001,67612,3868.2
41,Central Ostrobothnia,2006,7.0,256.9,281.9,269.6,8407,20747,4791,8301,19744,6605,16708,40491,11396,67632,4014.9
42,Central Ostrobothnia,2007,7.1,261.5,287.8,274.9,8398,20833,4815,8305,19872,6651,16703,40705,11466,67898,4235.2
43,Central Ostrobothnia,2008,7.1,265.2,294.8,280.2,8378,20878,4909,8223,19902,6709,16601,40780,11618,67991,4569.3
44,Central Ostrobothnia,2009,7.0,269.6,301.0,285.6,8361,20756,5001,8210,19891,6837,16571,40647,11838,68131,4727.6
45,Central Ostrobothnia,2010,6.9,274.6,307.1,291.2,8399,20638,5213,8177,19856,6988,16576,40494,12201,68321,4967.3
46,Central Ostrobothnia,2011,7.2,278.3,313.4,296.2,8394,20514,5489,8175,19710,7174,16569,40224,12663,68484,5280.4
47,Central Ostrobothnia,2012,6.8,282.4,319.4,301.2,8356,20339,5747,8151,19506,7446,16507,39845,13193,68610,5506.8
48,Central Ostrobothnia,2013,6.8,287.7,325.6,306.9,8361,20109,6025,8150,19368,7648,16511,39477,13673,68677,5598.8
49,Central Ostrobothnia,2014,6.7,291.7,332.5,312.4,8367,19952,6278,8116,19156,7868,16483,39108,14146,68830,5617.4
50,Central Ostrobothnia,2015,6.5,293.9,338.3,316.4,8375,19839,6503,8135,19018,8037,16510,38857,14540,69032,5669.6
51,Central Ostrobothnia,2016,6.4,296.8,343.2,320.3,8391,19660,6719,8105,18805,8208,16496,38465,14927,69027,5854.8
52,Central Ostrobothnia,2017,6.4,301.5,349.3,325.7,8344,19372,6910,8049,18555,8378,16393,37927,15288,68780,5869.1
53,Central Ostrobothnia,2018,6.2,306.4,356.6,331.8,8304,19110,7081,8002,18248,8535,16306,37358,15616,68437,6029.3
54,Central Ostrobothnia,2019,6.1,310.4,362.1,336.6,8204,18853,7258,7981,18049,8658,16185,36902,15916,68158,6241.0
55,Central Ostrobothnia,2020,6.2,314.6,367.9,341.5,8164,18781,7391,7883,17840,8803,16047,36621,16194,67988,6456.1
56,Kainuu,1993,6.1,214.5,214.2,214.3,12004,29832,4817,11763,27269,7369,23767,57101,12186,91794,2935.4
57,Kainuu,1994,6.0,218.0,219.2,218.6,11869,29517,5040,11665,27063,7571,23534,56580,12611,91350,2997.4
58,Kainuu,1995,6.2,221.2,224.4,222.8,11707,29166,5280,11420,26801,7752,23127,55967,13032,90781,3156.0
59,Kainuu,1996,6.1,225.2,229.3,227.2,11490,28837,5435,11197,26430,7935,22687,55267,13370,90035,3219.6
60,Kainuu,1997,6.3,227.8,233.1,230.5,11111,28480,5526,10988,26046,8104,22099,54526,13630,88896,3044.8
61,Kainuu,1998,6.4,230.9,237.8,234.4,10817,28157,5607,10636,25748,8216,21453,53905,13823,87843,3139.2
62,Kainuu,1999,6.5,234.3,242.1,238.2,10517,27840,5745,10348,25459,8277,20865,53299,14022,86943,3189.9
63,Kainuu,2000,6.4,236.7,245.9,241.3,10208,27427,5868,10087,25032,8447,20295,52459,14315,85736,3347.5
64,Kainuu,2001,6.8,239.5,250.5,245.0,9795,27106,5994,9708,24702,8570,19503,51808,14564,84497,3571.6
65,Kainuu,2002,7.0,242.8,254.0,248.4,9472,26818,6068,9318,24390,8661,18790,51208,14729,83477,3756.2
66,Kainuu,2003,7.2,246.8,258.9,252.9,9234,26506,6222,9072,24190,8741,18306,50696,14963,82744,3983.2
67,Kainuu,2004,7.9,250.8,264.6,257.7,9014,26293,6382,8825,23930,8924,17839,50223,15306,82214,3937.2
68,Kainuu,2005,8.3,255.0,269.4,262.2,8831,26058,6451,8582,23749,9022,17413,49807,15473,81585,3880.2
69,Kainuu,2006,8.5,260.3,276.2,268.3,8651,25617,6674,8318,23358,9220,16969,48975,15894,80738,4159.0
70,Kainuu,2007,8.8,264.1,282.0,273.1,8453,25473,6705,8133,23228,9239,16586,48701,15944,80218,4363.9
71,Kainuu,2008,9.0,269.0,289.2,279.2,8296,25297,6814,8025,23102,9251,16321,48399,16065,79690,4701.4
72,Kainuu,2009,8.9,273.5,295.2,284.4,8119,25071,6881,7899,22955,9315,16018,48026,16196,79234,4952.2
73,Kainuu,2010,8.7,277.4,300.5,289.0,7995,24797,7072,7758,22666,9473,15753,47463,16545,78703,5160.3
74,Kainuu,2011,8.9,281.5,305.9,293.7,7812,24456,7293,7546,22281,9611,15358,46737,16904,77984,5666.0
75,Kainuu,2012,8.6,285.4,310.7,298.1,7633,24103,7517,7410,21902,9857,15043,46005,17374,77435,5787.9
76,Kainuu,2013,8.5,290.3,316.0,303.2,7460,23662,7816,7251,21440,10113,14711,45102,17929,76782,6549.5
77,Kainuu,2014,8.3,293.9,322.0,308.0,7299,23190,8093,7115,21061,10288,14414,44251,18381,76119,6522.9
78,Kainuu,2015,8.0,295.5,327.2,311.4,7131,22673,8353,6845,20677,10438,13976,43350,18791,75324,6828.9
79,Kainuu,2016,8.1,299.2,332.9,316.1,7123,22265,8602,6739,20283,10593,13862,42548,19195,74803,6824.3
80,Kainuu,2017,8.0,304.1,339.5,321.8,6954,21749,8874,6648,19727,10784,13602,41476,19658,73959,6963.0
81,Kainuu,2018,8.1,309.0,347.2,328.1,6811,21231,9128,6471,19239,10950,13282,40470,20078,73061,7268.9
82,Kainuu,2019,7.9,311.9,351.5,331.6,6688,20708,9459,6329,18727,11142,13017,39435,20601,72306,7574.1
83,Kainuu,2020,8.0,314.8,357.6,336.1,6558,20416,9684,6177,18296,11260,12735,38712,20944,71664,7872.9
84,Kanta-Häme,1993,6.5,235.2,213.8,224.0,19652,51740,9513,18820,50149,16898,38472,101889,26411,164767,2608.2
85,Kanta-Häme,1994,6.3,239.5,219.4,229.0,19642,51635,9744,18913,49993,17117,38555,101628,26861,164957,2694.6
86,Kanta-Häme,1995,6.5,243.7,224.8,233.8,19554,51434,9940,18898,49770,17372,38452,101204,27312,164937,2818.7
87,Kanta-Häme,1996,6.6,247.2,230.3,238.4,19501,51288,10177,18793,49691,17462,38294,100979,27639,164892,2942.2
88,Kanta-Häme,1997,6.7,250.9,235.7,243.0,19460,51271,10316,18743,49666,17547,38203,100937,27863,165026,2605.1
89,Kanta-Häme,1998,6.8,254.6,241.4,247.7,19371,51235,10407,18599,49718,17496,37970,100953,27903,164914,2660.8
90,Kanta-Häme,1999,7.0,258.3,246.7,252.2,19412,51243,10619,18528,49878,17487,37940,101121,28106,165190,2668.8
91,Kanta-Häme,2000,7.0,261.7,252.4,256.8,19351,51204,10831,18505,49913,17540,37856,101117,28371,165307,2746.8
92,Kanta-Häme,2001,7.3,265.2,257.7,261.3,19265,51344,11039,18443,50037,17559,37708,101381,28598,165509,2889.2
93,Kanta-Häme,2002,7.8,268.8,262.8,265.7,18996,51491,11309,18290,50209,17664,37286,101700,28973,165886,3074.9
94,Kanta-Häme,2003,7.8,273.7,269.4,271.5,18963,51602,11600,18279,50403,17796,37242,102005,29396,166648,3263.8
95,Kanta-Häme,2004,8.3,278.0,275.8,276.8,18981,51727,11875,18411,50584,18047,37392,102311,29922,167630,3444.0
96,Kanta-Häme,2005,8.2,282.1,282.6,282.4,19008,52004,11983,18387,50894,18068,37395,102898,30051,168381,3624.9
97,Kanta-Häme,2006,8.5,286.1,289.2,287.7,19189,52340,12450,18445,51046,18533,37634,103386,30983,169952,3776.8
98,Kanta-Häme,2007,9.0,289.8,296.5,293.2,19277,52868,12561,18563,51738,18466,37840,104606,31027,171449,3944.8
99,Kanta-Häme,2008,8.8,293.4,303.3,298.5,19392,53328,12877,18711,52135,18749,38103,105463,31626,173041,4313.8
100,Kanta-Häme,2009,8.5,297.6,309.7,303.9,19384,53439,13202,18635,52450,18937,38019,105889,32139,173828,4428.3
101,Kanta-Häme,2010,8.4,301.0,315.4,308.5,19281,53480,13762,18501,52411,19349,37782,105891,33111,174555,4552.0
102,Kanta-Häme,2011,8.5,304.4,320.4,312.7,19148,53128,14518,18418,52067,20057,37566,105195,34575,175230,4804.3
103,Kanta-Häme,2012,7.9,306.9,326.0,316.8,19101,52760,15242,18281,51597,20666,37382,104357,35908,175472,5005.5
104,Kanta-Häme,2013,7.8,310.8,332.5,322.0,18979,52370,15869,18106,51106,21226,37085,103476,37095,175481,5105.8
105,Kanta-Häme,2014,7.5,313.7,337.3,325.8,18829,51976,16500,17883,50458,21800,36712,102434,38300,175349,5298.7
106,Kanta-Häme,2015,7.4,315.5,340.6,328.4,18555,51463,17050,17622,49791,22319,36177,101254,39369,174710,5330.7
107,Kanta-Häme,2016,7.3,318.2,345.3,332.1,18282,50836,17530,17293,48975,22803,35575,99811,40333,173781,5433.9
108,Kanta-Häme,2017,7.2,321.3,351.3,336.7,18043,50189,18102,16991,48194,23208,35034,98383,41310,172720,5435.2
109,Kanta-Häme,2018,7.3,325.5,358.3,342.3,17693,49431,18589,16595,47339,23649,34288,96770,42238,171364,5650.1
110,Kanta-Häme,2019,7.1,328.9,363.5,346.6,17351,49012,19061,16339,46877,24132,33690,95889,43193,170925,5655.6
111,Kanta-Häme,2020,7.4,332.0,368.2,350.5,17179,48706,19472,16012,46514,24592,33191,95220,44064,170577,5951.5
112,Kymenlaakso,1993,7.3,237.4,209.9,223.2,21234,60327,10635,20312,57059,18866,41546,117386,29501,186054,2632.8
113,Kymenlaakso,1994,7.0,241.1,215.0,227.6,21084,59965,10970,20184,56706,19043,41268,116671,30013,185462,2676.2
114,Kymenlaakso,1995,6.6,244.6,220.2,232.0,20782,59522,11251,19952,56223,19223,40734,115745,30474,184595,2772.1
115,Kymenlaakso,1996,6.9,248.2,225.4,236.4,20584,59000,11498,19751,55846,19372,40335,114846,30870,183819,2934.8
116,Kymenlaakso,1997,7.1,251.2,230.4,240.4,20305,58591,11718,19605,55488,19503,39910,114079,31221,182942,2611.8
117,Kymenlaakso,1998,7.1,254.8,234.8,244.5,20071,58333,11833,19431,55221,19536,39502,113554,31369,182215,2646.6
118,Kymenlaakso,1999,7.1,257.2,239.2,247.9,19836,57846,12072,19175,54838,19530,39011,112684,31602,181122,2801.1
119,Kymenlaakso,2000,7.0,260.1,244.2,251.9,19592,57420,12246,18918,54488,19559,38510,111908,31805,179940,2848.5
120,Kymenlaakso,2001,7.5,262.7,248.8,255.5,19377,57186,12492,18661,54276,19602,38038,111462,32094,179292,3114.5
121,Kymenlaakso,2002,7.8,266.0,253.3,259.5,19069,57101,12679,18386,54024,19664,37455,111125,32343,178735,3295.3
122,Kymenlaakso,2003,8.0,269.3,258.7,263.9,18832,56969,12998,18130,53806,19784,36962,110775,32782,178341,3449.7
123,Kymenlaakso,2004,8.5,272.2,264.3,268.2,18629,56697,13369,17906,53535,20049,36535,110232,33418,178205,3714.6
124,Kymenlaakso,2005,8.5,275.3,270.0,272.6,18501,56481,13557,17823,53419,20175,36324,109900,33732,177931,3901.2
125,Kymenlaakso,2006,8.7,278.8,275.7,277.2,18200,55770,14043,17610,52828,20634,35810,108598,34677,176995,3949.0
126,Kymenlaakso,2007,9.2,281.3,281.4,281.4,18048,55601,14070,17379,52656,20669,35427,108257,34739,176356,4053.4
127,Kymenlaakso,2008,9.0,283.6,287.1,285.4,17790,55238,14423,17143,52373,20836,34933,107611,35259,175661,4431.3
128,Kymenlaakso,2009,8.8,287.3,292.6,290.1,17611,55014,14742,16922,52117,21103,34533,107131,35845,175403,4839.9
129,Kymenlaakso,2010,8.6,289.7,297.2,293.5,17469,54521,15404,16825,51644,21640,34294,106165,37044,175377,4911.7
130,Kymenlaakso,2011,8.6,291.9,301.8,297.0,17194,53894,16088,16608,50989,22203,33802,104883,38291,174827,5234.7
131,Kymenlaakso,2012,8.0,294.0,306.5,300.4,17026,53228,16771,16433,50282,22864,33459,103510,39635,174466,5619.4
132,Kymenlaakso,2013,8.0,297.4,312.6,305.2,16722,52522,17419,16180,49588,23518,32902,102110,40937,173864,5770.5
133,Kymenlaakso,2014,7.7,300.3,317.3,309.0,16418,51600,18140,15900,48819,24006,32318,100419,42146,172907,5872.6
134,Kymenlaakso,2015,7.5,300.8,320.7,311.0,16136,50788,18723,15581,47970,24445,31717,98758,43168,171778,5921.8
135,Kymenlaakso,2016,7.5,303.6,324.6,314.3,15874,50160,19103,15357,47277,24869,31231,97437,43972,170770,6037.3
136,Kymenlaakso,2017,7.5,306.8,330.3,318.8,15464,49125,19573,14914,46145,25304,30378,95270,44877,168691,6050.8
137,Kymenlaakso,2018,7.6,312.3,338.8,325.8,15053,48255,19965,14450,45113,25530,29503,93368,45495,166623,6344.4
138,Kymenlaakso,2019,7.5,315.1,343.9,329.8,14618,47330,20201,14107,44137,25815,28725,91467,46016,164456,6540.1
139,Kymenlaakso,2020,8.0,317.5,348.8,333.5,14218,46572,20594,13715,43343,26022,27933,89915,46616,162812,6790.0
140,Lapland,1993,7.6,223.7,228.2,226.0,27317,66278,9860,26534,61164,14606,53851,127442,24466,202895,3174.2
141,Lapland,1994,7.5,227.4,233.5,230.5,27091,65842,10239,26287,60723,15032,53378,126565,25271,202325,3260.1
142,Lapland,1995,7.9,231.0,239.0,235.0,26622,65441,10594,25834,60378,15386,52456,125819,25980,201411,3408.3
143,Lapland,1996,8.0,234.3,244.1,239.2,26304,65143,10901,25449,59901,15761,51753,125044,26662,200579,3449.6
144,Lapland,1997,8.2,237.3,248.3,242.8,25817,64615,11153,24925,59415,15973,50742,124030,27126,199051,3003.2
145,Lapland,1998,8.4,240.1,252.7,246.4,25110,63736,11369,24269,58774,16160,49379,122510,27529,196647,3051.6
146,Lapland,1999,8.4,243.1,257.1,250.1,24535,62939,11621,23700,57904,16461,48235,120843,28082,194352,3112.1
147,Lapland,2000,8.4,245.7,261.2,253.5,23915,61975,11994,22946,57159,16728,46861,119134,28722,191768,3257.1
148,Lapland,2001,8.9,248.9,265.1,257.0,23150,61264,12284,22170,56193,17045,45320,117457,29329,189288,3469.6
149,Lapland,2002,9.3,252.4,269.9,261.2,22411,60640,12683,21632,55877,17393,44043,116517,30076,187778,3653.8
150,Lapland,2003,9.5,256.4,275.1,265.8,21793,60357,13089,21048,55594,17736,42841,115951,30825,186917,3825.8
151,Lapland,2004,11.0,260.4,281.2,270.8,21333,60089,13503,20625,55362,18105,41958,115451,31608,186443,3960.9
152,Lapland,2005,11.2,264.2,286.8,275.5,20940,59841,13743,20208,55270,18273,41148,115111,32016,185800,4154.1
153,Lapland,2006,11.7,267.9,292.8,280.3,20583,59141,14245,19857,54778,18834,40440,113919,33079,184935,4333.1
154,Lapland,2007,12.3,271.1,298.5,284.9,20296,59019,14351,19508,54907,18889,39804,113926,33240,184390,4473.2
155,Lapland,2008,12.0,274.8,305.3,290.1,19994,58840,14680,19165,54865,19028,39159,113705,33708,183963,4733.7
156,Lapland,2009,11.2,279.1,310.7,295.0,19681,58883,14856,18818,54852,19207,38499,113735,34063,183748,4935.6
157,Lapland,2010,10.9,283.0,316.1,299.6,19406,58740,15197,18486,54698,19477,37892,113438,34674,183488,5148.0
158,Lapland,2011,11.2,286.8,322.4,304.6,19118,58196,15845,18296,54136,20127,37414,112332,35972,183330,5436.2
159,Lapland,2012,10.7,290.5,328.4,309.5,18900,57510,16536,18025,53591,20654,36925,111101,37190,182844,5824.0
160,Lapland,2013,10.6,295.1,335.3,315.3,18673,56702,17258,17834,52944,21232,36507,109646,38490,182514,6032.3
161,Lapland,2014,10.3,299.3,341.6,320.5,18485,55772,18025,17611,52207,21760,36096,107979,39785,181746,6217.3
162,Lapland,2015,10.1,301.8,346.3,324.1,18179,54817,18747,17366,51532,22215,35545,106349,40962,180858,6382.7
163,Lapland,2016,10.1,305.3,352.0,328.7,18071,54027,19266,17115,51074,22625,35186,105101,41891,180207,6372.6
164,Lapland,2017,10.2,311.1,360.4,335.9,17814,53040,19882,16910,50458,23035,34724,103498,42917,179223,6367.7
165,Lapland,2018,10.2,316.7,368.4,342.7,17554,52250,20491,16756,49943,23465,34310,102193,43956,178522,6659.1
166,Lapland,2019,10.0,320.0,374.2,347.3,17271,51419,20913,16427,49003,23955,33698,100422,44868,177161,6944.3
167,Lapland,2020,9.4,323.2,380.4,351.9,17063,50879,21443,16256,48326,24466,33319,99205,45909,176665,7016.3
168,North Karelia,1993,6.2,215.5,212.4,213.9,23122,58570,10313,22020,54285,17389,45142,112855,27702,183293,2918.5
169,North Karelia,1994,6.0,220.0,218.5,219.2,22912,58360,10591,21882,53980,17657,44794,112340,28248,183038,2932.5
170,North Karelia,1995,5.9,224.1,224.0,224.0,22757,57992,10853,21653,53525,17953,44410,111517,28806,182336,3020.4
171,North Karelia,1996,5.9,227.8,229.4,228.6,22439,57504,11043,21294,53176,18044,43733,110680,29087,181160,3146.8
172,North Karelia,1997,6.1,231.4,234.8,233.1,22175,57012,11230,21013,52678,18157,43188,109690,29387,179977,2720.0
173,North Karelia,1998,6.1,234.8,239.8,237.4,21831,56593,11365,20625,52343,18101,42456,108936,29466,178441,2722.6
174,North Karelia,1999,6.1,238.9,245.7,242.3,21374,56225,11557,20297,51963,18180,41671,108188,29737,177238,2781.2
175,North Karelia,2000,6.1,242.5,250.6,246.6,20960,56072,11763,19927,51681,18230,40887,107753,29993,176187,2924.2
176,North Karelia,2001,6.3,246.6,257.0,251.9,20496,55969,11983,19541,51489,18401,40037,107458,30384,175322,3083.3
177,North Karelia,2002,6.6,250.1,262.4,256.3,20039,55709,12176,19062,51279,18387,39101,106988,30563,174236,3273.0
