"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2749;2749;40.4
"Humppila";558;558;45.9
"Hyrynsalmi";821;820;45
"Hyvinkää";9563;9546;49.5
"Hämeenkyrö";2290;2288;39.1
"Hämeenlinna";16373;16334;57
"Heinola";5927;5906;51.7
"Ii";1867;1862;47.6
"Iisalmi";5092;5081;51.1
"Iitti";1910;1906;50.4
"Ikaalinen";2045;2040;42.8
"Ilmajoki";2388;2385;42.2
"Ilomantsi";1841;1839;50.2
"Inari";1583;1576;41.8
"Inkoo";1227;1220;36.1
"Isojoki";640;640;39.4
"Isokyrö";1196;1193;39.3
"Imatra";7617;7603;58.4
"Janakkala";3683;3681;53.4
"Joensuu";15409;15382;54.4
"Jokioinen";1202;1201;46.5
"Jomala";685;680;33.4
"Joroinen";1332;1328;56
"Joutsa";1600;1597;50.7
"Juuka";1567;1567;53.1
"Juupajoki";503;502;25.1
"Juva";1989;1986;59.9
"Jyväskylä";23938;23899;51.2
"Jämijärvi";509;509;52.7
"Jämsä";5986;5978;42.5
"Järvenpää";7208;7198;47
"Kaarina";6583;6566;54.3
"Kaavi";964;964;49.8
"Kajaani";7682;7669;50.2
"Kalajoki";2889;2882;33.9
"Kangasala";5907;5896;49.2
"Kangasniemi";1893;1892;54.6
"Kankaanpää";3206;3202;45.7
"Kannonkoski";454;452;44
"Kannus";1167;1162;45.8
"Karijoki";421;418;39
"Karkkila";2124;2122;47.5
"Karstula";1240;1238;50
"Karvia";761;761;37.2
"Kaskinen";457;455;36
"Kauhajoki";3296;3288;39.6
"Kauhava";4282;4276;39.1
"Kauniainen";2116;2098;55
"Kaustinen";906;906;38.1
"Keitele";722;721;50.2
"Kemi";5159;5142;46.5
"Keminmaa";1762;1758;49.8
"Kempele";2599;2597;49.2
"Kerava";6425;6417;45.8
"Keuruu";3053;3051;48.5
"Kihniö";571;571;36.8
"Kinnula";468;465;41.9
"Kirkkonummi";5670;5654;49.4
"Kitee";3297;3295;45.5
"Kittilä";1237;1231;51.8
"Kiuruvesi";2284;2282;53.2
"Kivijärvi";380;379;39.8
"Kokemäki";2056;2054;41
"Kokkola";9762;9747;40.3
"Kolari";956;947;47.7
"Konnevesi";852;851;43.2
"Kontiolahti";2146;2143;55.2
"Korsnäs";575;572;26.6
"Koski Tl";734;734;41.8
"Kotka";13431;13397;51.2
"Kouvola";21271;21232;51
"Kristiinankaupunki";2162;2152;21.5
"Kruunupyy";1560;1554;27
"Kuhmo";2728;2728;43.5
"Kuhmoinen";941;939;42.4
"Kumlinge";99;99;35.4
"Kuopio";23203;23151;56.8
"Kuortane";1065;1063;48.2
"Kurikka";5652;5646;39.2
"Kustavi";350;348;47.7
"Kuusamo";3688;3682;48
"Outokumpu";1947;1940;57.9
"Kyyjärvi";409;408;49.3
"Kärkölä";1063;1062;50.2
"Kärsämäki";661;660;45
"Kökar";78;77;27.3
"Kemijärvi";2645;2640;42.7
"Kemiönsaari";2131;2118;31.2
"Lahti";27239;27167;49
"Laihia";1673;1672;35.4
"Laitila";1929;1927;34.3
"Lapinlahti";2419;2416;48.9
"Lappajärvi";987;984;49.8
"Lappeenranta";16153;16115;57.6
"Lapinjärvi";723;720;43.8
"Lapua";3245;3242;45.3
"Laukaa";3396;3393;46.3
"Lemi";701;699;53.6
"Lemland";329;320;36.9
"Lempäälä";3585;3580;47.5
"Leppävirta";2659;2655;54.8
"Lestijärvi";229;229;58.5
"Lieksa";3741;3733;51.4
"Lieto";3565;3561;48.2
"Liminka";935;934;41.5
"Liperi";2340;2340;48.9
"Loimaa";4561;4558;38.2
"Loppi";1793;1788;41.1
"Loviisa";3972;3966;46.6
"Luhanka";296;296;43.9
"Lumijoki";336;336;39.9
"Lumparland";101;98;44.9
"Luoto";708;707;24.6
"Luumäki";1452;1452;53.6
"Lohja";10169;10146;39.5
"Parainen";3843;3825;39
"Maalahti";1475;1466;20.1
"Maarianhamina";2671;2640;35.2
"Marttila";505;505;46.3
"Masku";1523;1521;47.6
"Merijärvi";256;256;33.2
"Merikarvia";1009;1005;35.9
"Miehikkälä";661;661;56.6
"Mikkeli";13098;13083;58.8
"Muhos";1445;1442;47.8
"Multia";508;506;45.7
"Muonio";573;569;43.2
"Mustasaari";3899;3889;27.5
"Muurame";1642;1636;48.5
"Mynämäki";1818;1817;51.3
"Myrskylä";503;502;45.2
"Mäntsälä";3556;3551;52.4
"Mäntyharju";1966;1961;57
"Mänttä-Vilppula";3212;3204;34.9
"Naantali";4554;4544;48.7
"Nakkila";1413;1413;41.1
"Nivala";2168;2166;49.3
"Nokia";6384;6368;44.7
"Nousiainen";799;798;47.5
"Nurmes";3074;3070;49.6
"Nurmijärvi";6484;6474;52.6
"Närpiö";2620;2606;29.2
"Orimattila";3713;3711;46.1
"Oripää";338;337;40.9
"Orivesi";2551;2549;42.4
"Oulainen";1789;1784;45.5
"Oulu";29706;29639;44.5
"Padasjoki";1080;1079;43
"Paimio";2182;2175;49.9
"Paltamo";998;998;54.6
"Parikkala";1813;1809;54
"Parkano";1940;1938;47.4
"Pelkosenniemi";296;295;47.1
"Perho";599;599;42.2
"Pertunmaa";600;598;53.2
"Petäjävesi";882;882;44.6
"Pieksämäki";5237;5227;49.4
"Pielavesi";1510;1509;48.8
"Pietarsaari";4773;4762;35.1
"Pedersören kunta";1849;1848;30
"Pihtipudas";1159;1154;44.2
"Pirkkala";3171;3170;57.9
"Polvijärvi";1237;1236;43.6
"Pomarkku";625;624;36.1
"Pori";20483;20448;38.9
"Pornainen";697;696;52.3
"Posio";1126;1121;38.4
"Pudasjärvi";2269;2260;44.1
"Pukkila";412;410;45.1
"Punkalaidun";915;914;44.1
"Puolanka";915;912;43.4
"Puumala";845;837;58.7
"Pyhtää";1236;1235;56.9
"Pyhäjoki";837;837;48.6
"Pyhäjärvi";1655;1652;40.4
"Pyhäntä";314;314;40.4
"Pyhäranta";512;511;39.9
"Pälkäne";1761;1759;47.2
"Pöytyä";1949;1944;48.6
"Porvoo";9806;9765;48.7
"Raahe";5435;5420;45
"Raisio";5064;5053;48.6
"Rantasalmi";1110;1109;50
"Ranua";996;993;45.1
"Rauma";9341;9323;45.9
"Rautalampi";1023;1022;55.9
"Rautavaara";597;596;53.4
"Rautjärvi";1145;1142;62.3
"Reisjärvi";687;687;51.5
"Riihimäki";5892;5882;44.8
"Ristijärvi";473;473;38.7
"Rovaniemi";10993;10967;50
"Ruokolahti";1611;1607;60.1
"Ruovesi";1499;1498;45.9
"Rusko";1047;1046;51.5
"Rääkkylä";786;784;45.5
"Raasepori";7079;7046;34.6
"Saarijärvi";2755;2751;43.9
"Salla";1245;1240;40.3
"Salo";13152;13123;52.4
"Saltvik";398;397;29
"Sauvo";695;693;56.3
"Savitaipale";1278;1275;52.7
"Savonlinna";9835;9817;53.7
"Savukoski";308;308;47.7
"Seinäjoki";11497;11483;41.2
"Sievi";851;850;45.1
"Siikainen";472;470;40
"Siikajoki";1034;1034;47.5
"Siilinjärvi";3944;3939;60.6
"Simo";872;870;44
"Sipoo";3513;3504;41.6
"Siuntio";1016;1013;34.9
"Sodankylä";2094;2089;44.7
"Soini";594;589;46.5
"Somero";2686;2681;49.5
"Sonkajärvi";1213;1212;41
"Sotkamo";2502;2502;47.8
"Sottunga";34;34;11.8
"Sulkava";939;937;56.5
"Sund";240;232;27.6
"Suomussalmi";2554;2552;46.3
"Suonenjoki";2106;2104;60.5
"Sysmä";1490;1486;48.1
"Säkylä";1914;1911;38.3
"Vaala";973;973;46.9
"Sastamala";6569;6560;40.4
"Siikalatva";1507;1507;45.5
"Taipalsaari";1010;1009;59.9
"Taivalkoski";1064;1063;45.1
"Taivassalo";519;518;45.9
"Tammela";1507;1504;39.4
"Tampere";42576;42497;45.3
"Tervo";540;540;48.1
"Tervola";847;842;34.9
"Teuva";1592;1590;38
"Tohmajärvi";1280;1278;31.6
"Toholampi";795;795;37.2
"Toivakka";597;597;45.4
"Tornio";4524;4493;44
"Turku";37690;37556;47.5
"Pello";1248;1242;48.9
"Tuusniemi";836;833;51.6
"Tuusula";6190;6176;52
"Tyrnävä";793;792;37.2
"Ulvila";3103;3097;41.2
"Urjala";1476;1474;40.2
"Utajärvi";745;745;48.1
"Utsjoki";303;302;45.7
"Uurainen";651;648;42.9
"Uusikaarlepyy";1782;1772;36.7
"Uusikaupunki";4105;4096;51.9
"Vaasa";12607;12576;38.1
"Valkeakoski";5314;5302;43
"Varkaus";5792;5786;50.8
"Vehmaa";633;631;41.7
"Vesanto";789;788;49.5
"Vesilahti";743;739;42.8
"Veteli";855;853;39.2
"Vieremä";888;886;45.3
"Vihti";4995;4986;48.5
"Viitasaari";2033;2026;51.3
"Vimpeli";771;771;49.3
"Virolahti";934;933;58.6
"Virrat";2296;2294;45.1
"Vårdö";129;128;39.8
"Vöyri";1594;1586;25
"Ylitornio";1410;1403;55.5
"Ylivieska";2749;2746;46.8
"Ylöjärvi";5387;5382;50.7
"Ypäjä";600;599;46.2
"Ähtäri";1730;1727;52.6
"Äänekoski";4698;4693;41.1
"Evijärvi";643;642;44.9
"Brändö";132;130;43.8
"Vantaa";31682;31597;48.8
"Hanko";2475;2470;41.1
"Askola";872;867;42.2
"Eurajoki";2172;2170;36.7
"Hammarland";311;304;36.5
"Geta";110;110;29.1
"Hartola";988;986;50.6
"Helsinki";103292;102795;46
"Hirvensalmi";735;733;51.2
"Enonkoski";517;517;50.5
"Enontekiö";432;430;28.8
"Akaa";3582;3575;40.8
"Eura";3101;3095;47.4
"Hailuoto";347;347;45.5
"Eckerö";224;221;27.1
"Heinävesi";1178;1172;52.1
"Harjavalta";2073;2072;39.5
"Aura";701;700;47.4
"Hausjärvi";1556;1553;39.1
"Haapavesi";1446;1444;39.6
"Hollola";5187;5178;51.8
"Alajärvi";2475;2473;45.7
"Alavieska";577;576;47.7
"Finström";508;498;29.3
"Haapajärvi";1541;1533;46.2
"Hankasalmi";1437;1433;49.4
"Hattula";1937;1935;9
"Espoo";38238;38081;57.5
"Alavus";2968;2965;45.7
"Halsua";354;353;46.7
"Forssa";4919;4909;45
"Föglö";163;160;36.2
"Hamina";5585;5569;57.7
"Asikkala";2465;2458;52.5
